course_name,units,year_11_male,year_11_female,year_11_total,year_12 _male,year_12 _female,year_12 _total
Aboriginal Studies,2,240,460,700,118,239,357
Aboriginal Studies Life Skills,2,7,10,17,6,3,9
Aged Care Specialisation Study,1,,,,,6,6
Agriculture,2,667,738,1405,457,471,928
Agriculture Life Skills,2,38,15,53,33,21,54
Ancient History,2,3682,4666,8348,2674,3834,6508
Arabic Beginners,2,,3,3,,,
Arabic Continuers,2,74,107,181,47,86,133
Arabic Extension,1,,,,13,23,36
Armenian Continuers,2,,2,2,,2,2
Automotive,2,30,4,34,14,1,15
Automotive,4,2,,2,2,,2
Automotive Examination (Mechanical Technology),2,,,,2,1,3
Automotive Specialisation Study,1,1,,1,,,
Biology,2,5292,8405,13697,3628,6162,9790
Business and Economics Life Skills,2,15,21,36,12,16,28
Business Services,2,366,909,1275,247,699,946
Business Services,4,16,20,36,19,41,60
Business Services Examination,2,,,,196,518,714
Business Services Specialisation Study,1,,1,1,,,
Business Studies,2,6007,5825,11832,4294,4273,8567
Chemistry,2,5111,4181,9292,3581,2882,6463
Chinese Background Speakers,2,327,405,732,216,310,526
Chinese Beginners,2,14,38,52,6,15,21
Chinese Continuers,2,11,25,36,11,24,35
Chinese Extension,1,,,,4,1,5
Citizenship and Legal Studies Life Skills,2,40,25,65,49,29,78
Classical Greek Continuers,2,3,1,4,,,
Community and Family Studies,2,670,6245,6915,375,4579,4954
Community and Family Studies Life Skills,2,60,87,147,23,87,110
Community Pharmacy Specialisation Study,2,,2,2,,1,1
Construction,2,3153,132,3285,1929,53,1982
Construction,4,74,3,77,44,8,52
Construction Examination,2,,,,1363,35,1398
Construction School-based Apprenticeship,2,1,,1,1,,1
Construction School-based Apprenticeship,4,1,,1,,,
Construction School-based Apprenticeship Specialisation,2,,,,1,,1
Creative Arts Life Skills,2,301,141,442,233,134,367
Croatian Continuers,2,1,1,2,1,3,4
Dance,2,54,814,868,28,614,642
Dance Life Skills,2,5,13,18,3,7,10
Design and Technology,2,1458,751,2209,920,509,1429
Design and Technology Life Skills,2,48,7,55,22,10,32
Drama,2,1104,2165,3269,728,1729,2457
Drama Life Skills,2,25,18,43,18,26,44
Earth and Environmental Science,2,774,627,1401,495,333,828
Economics,2,2199,1356,3555,1530,954,2484
Electrotechnology,2,11,,11,2,,2
Electrotechnology Examination,2,,,,2,,2
Engineering Studies,2,2139,148,2287,1419,86,1505
English (Advanced),2,6251,9126,15377,4975,7703,12678
English (Standard),2,10735,10292,21027,9354,9321,18675
English as a Second Language,2,1172,1173,2345,941,954,1895
English Extension,1,1380,2322,3702,,,
English Extension 1,1,,,,617,1619,2236
English Extension 2,1,,,,200,640,840
English Life Skills,2,1083,485,1568,793,492,1285
Entertainment Industry,2,457,533,990,334,432,766
Entertainment Industry,4,,,,1,,1
Entertainment Industry Examination,2,,,,255,370,625
Filipino Continuers,2,5,2,7,3,7,10
Financial Services,2,2,2,4,,1,1
Financial Services Examination,2,,,,,1,1
Food Technology,2,1027,2214,3241,619,1630,2249
Food Technology Life Skills,2,288,137,425,161,120,281
French Beginners,2,174,607,781,83,367,450
French Continuers,2,100,267,367,50,172,222
French Extension,1,,,,5,45,50
Fundamentals of English,2,259,248,507,,,
Fundamentals of English (Part 1),1,327,343,670,,,
Fundamentals of English (Part 2),1,5,21,26,,,
Geography,2,1534,1192,2726,1042,824,1866
Geography Life Skills,2,101,35,136,44,18,62
German Beginners,2,47,68,115,25,50,75
German Continuers,2,71,108,179,54,57,111
German Extension,1,,,,6,14,20
Heritage Chinese (Mandarin),2,24,68,92,14,78,92
Heritage Indonesian,2,1,6,7,1,1,2
Heritage Japanese,2,14,17,31,4,10,14
Heritage Korean,2,19,49,68,21,40,61
Hindi Continuers,2,6,7,13,4,13,17
History Extension,1,,,,230,528,758
History Life Skills,2,123,51,174,79,29,108
Hospitality,2,2229,4803,7032,1403,3481,4884
Hospitality,4,62,140,202,62,96,158
Hospitality Examination (Food and Beverage),2,,,,528,1539,2067
Hospitality Examination (Kitchen Operations and Cookery),2,,,,566,1390,1956
Hospitality Specialisation Study,1,3,4,7,5,4,9
Hospitality Specialisation Study,2,,2,2,18,36,54
Human Services,2,10,115,125,31,176,207
Human Services,4,3,16,19,,,
Human Services Examination,2,,,,16,90,106
Human Society and its Environment Life Skills,2,406,170,576,275,166,441
Hungarian Continuers,2,1,1,2,1,2,3
IDT Examination (Digital Animation),2,,,,14,,14
IDT Examination (Networking and Hardware),2,,,,9,,9
IDT Examination (Web and Software Applications),2,,,,434,99,533
Indonesian Background Speakers,2,2,6,8,1,3,4
Indonesian Beginners,2,14,17,31,2,10,12
Indonesian Continuers,2,16,36,52,6,26,32
Indonesian Extension,1,,,,1,7,8
Industrial Technology,2,5369,826,6195,3220,481,3701
Industrial Technology Life Skills,2,149,18,167,94,7,101
Information and Digital Technology,2,607,109,716,547,135,682
Information and Digital Technology,4,20,2,22,27,3,30
Information and Digital Technology Specialisation Study,1,1,,1,,,
Information and Digital Technology Specialisation Study,2,15,3,18,5,2,7
Information and Digital Technology Specialisation Study,3,10,,10,9,2,11
Information Processes and Technology,2,1812,402,2214,1403,269,1672
Information Processes and Technology Life Skills,2,47,11,58,33,6,39
Italian Beginners,2,109,282,391,39,136,175
Italian Continuers,2,25,58,83,11,53,64
Italian Extension,1,,,,,11,11
Japanese Background Speakers,2,3,10,13,8,5,13
Japanese Beginners,2,375,504,879,197,320,517
Japanese Continuers,2,214,395,609,163,290,453
Japanese Extension,1,,,,54,102,156
Khmer Continuers,2,3,7,10,5,3,8
Korean Background Speakers,2,35,35,70,25,27,52
Korean Continuers,2,3,21,24,1,14,15
Latin Continuers,2,29,36,65,27,33,60
Latin Extension,1,,,,20,25,45
Legal Studies,2,3100,4897,7997,2319,3568,5887
Macedonian Continuers,2,5,12,17,7,5,12
Mathematics,2,7048,6066,13114,4683,4086,8769
Mathematics Extension,1,3744,2972,6716,,,
Mathematics Extension 1,2,,,,2950,2209,5159
Mathematics Extension 2,2,,,,1309,796,2105
Mathematics General,2,12930,12201,25131,,,
Mathematics General 2,2,,,,8749,8943,17692
Mathematics Life Skills,2,1067,469,1536,755,468,1223
Metal and Engineering,2,1402,49,1451,752,24,776
Metal and Engineering,4,24,2,26,46,1,47
Metal and Engineering Examination,2,,,,529,17,546
Metal and Engineering SBA Specialisation,2,,,,1,,1
Metal and Engineering School-based Apprenticeship,2,1,,1,,,
Metal and Engineering Specialisation Study,2,1,,1,,,
Modern Greek Beginners,2,25,26,51,5,20,25
Modern Greek Continuers,2,21,29,50,12,35,47
Modern Greek Extension,1,,,,4,18,22
Modern History,2,3633,3946,7579,2664,3196,5860
Music 1,2,2022,1953,3975,1493,1451,2944
Music 2,2,205,265,470,175,188,363
Music Extension,1,,,,111,124,235
Music Life Skills,2,75,36,111,69,47,116
Persian Background Speakers,2,18,17,35,14,10,24
"Personal Development, Health & PE Life Skills",2,791,327,1118,553,313,866
"Personal Development, Health and Physical Education",2,5066,5881,10947,3680,4511,8191
Physics,2,5775,1753,7528,4462,1255,5717
Polish Continuers,2,2,4,6,3,5,8
Portuguese Continuers,2,,5,5,1,4,5
Primary Industries,2,783,422,1205,450,339,789
Primary Industries,4,26,5,31,22,11,33
Primary Industries Examination,2,,,,341,270,611
Primary Industries Specialisation Study,1,,,,5,6,11
Primary Industries Specialisation Study,2,24,3,27,29,8,37
Punjabi Continuers,2,5,7,12,,,
Retail Operations Extension,1,,,,1,5,6
Retail Services,2,546,1158,1704,461,1090,1551
Retail Services,4,3,3,6,26,27,53
Retail Services Examination,2,,,,339,752,1091
Russian Continuers,2,18,17,35,9,11,20
Science Life Skills,2,539,255,794,345,218,563
Senior Science,2,1773,1412,3185,2191,1889,4080
Serbian Continuers,2,8,7,15,5,7,12
Society and Culture,2,1107,3936,5043,607,2471,3078
Society and Culture Life Skills,2,25,20,45,13,9,22
Software Design and Development,2,1706,179,1885,1065,69,1134
Spanish Beginners,2,44,146,190,27,95,122
Spanish Continuers,2,31,50,81,26,61,87
Spanish Extension,1,,,,8,20,28
Studies of Religion I,1,309,361,670,113,215,328
Studies of Religion I Life Skills,1,,1,1,,,
Studies of Religion II,2,219,901,1120,143,678,821
Studies of Religion II Life Skills,2,,3,3,1,1,2
Swedish Continuers,2,,1,1,,,
Tamil Continuers,2,2,2,4,1,3,4
Technology Life Skills,2,333,147,480,256,127,383
Textiles and Design,2,35,1354,1389,21,1020,1041
Textiles and Design Life Skills,2,2,16,18,1,12,13
"Tourism, Travel and Events",2,3,17,20,1,12,13
"Tourism, Travel and Events Examination",2,,,,,2,2
Turkish Continuers,2,8,43,51,6,15,21
Ukrainian Continuers,2,3,2,5,1,2,3
Vietnamese Continuers,2,65,84,149,59,85,144
Visual Arts,2,2165,4983,7148,1462,3905,5367
Visual Arts Life Skills,2,238,135,373,149,132,281
Work and the Community Life Skills,2,743,322,1065,500,347,847
